"Title","Artist","Style","Genre","Media","Link to Picture","link to image","Artwork_ID","...9","...10","...11","...12","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"Side Panels for 'Anatomy of Aphrodite'","Paul Klee","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/paul-klee/side-panels-for-anatomy-of-aphrodite-1915","https://uploads6.wikiart.org/images/paul-klee/side-panels-for-anatomy-of-aphrodite-1915(1).jpg",66,NA,NA,NA,NA,NA,NA,64,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,20,57,NA,50,NA,74,NA,NA,50,24,NA,NA,23,51,28,NA,NA,NA,NA,71,NA,NA,74,NA,11,NA,NA,NA,NA,NA,NA,NA,33,19,NA,NA,20,NA,NA,NA,47,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,74,NA,61,28,NA,NA,NA,11,NA,NA
"Sails","Arthur Dove","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/arthur-dove/sails-1912","https://uploads8.wikiart.org/images/arthur-dove/sails-1912.jpg",67,NA,NA,NA,NA,61,NA,83,75,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,70,NA,NA,34,NA,NA,NA,65,NA,NA,NA,100,13,NA,NA,58,NA,81,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,37,NA,17,NA,16,67,91,NA,100,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,2,77
"Abstraction","Arthur Beecher Carles","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/arthur-beecher-carles/abstraction-1941","https://uploads8.wikiart.org/images/arthur-beecher-carles/abstraction-1941.jpg",68,NA,NA,NA,NA,70,NA,52,NA,11,78,43,NA,NA,50,NA,NA,12,NA,NA,NA,73,NA,45,NA,NA,3,NA,NA,NA,NA,18,23,NA,NA,NA,66,NA,NA,NA,NA,51,NA,50,NA,NA,NA,39,NA,42,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,0,NA,NA,NA,0,66,NA,51,64,21,18,NA,NA,NA,50,72,NA,NA,NA,58,39,32,54,NA,56,NA,NA,29,NA,NA,NA,35,NA,73,66,NA,NA,NA,NA,80
"Abstract Composition","Jean Arp","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/jean-arp/abstract-composition","https://uploads8.wikiart.org/images/jean-arp/abstract-composition.jpg",69,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,81,NA,67,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,68,NA,82,NA,NA,NA,NA,NA,71,30,NA,NA,NA,NA,77,6,NA,NA,12,NA,NA,NA,32,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,77,NA,NA,NA,65,100,NA,NA,19,NA
"Komposition","Otto Freundlich","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/otto-freundlich/komposition-1940","https://uploads8.wikiart.org/images/otto-freundlich/komposition-1940.jpg",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,54,NA,NA,NA,NA,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,56,NA,NA,29,NA,27,34,NA,NA,73,NA,64,NA,NA,NA,24,NA,71,NA,35,NA,NA,NA,NA,27,NA,NA,NA,NA,51,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,65,64,NA,NA,NA,48,75,55,NA,85,NA,NA,77,NA,NA,NA,NA,NA,NA,100,NA,16,NA,NA
"Egyptian no. 2","Owen Jones","Art Nouveau","design","lithography","https://www.wikiart.org/en/owen-jones/egyptian-no-2","https://uploads8.wikiart.org/images/owen-jones/egyptian-no-2.jpg",71,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,62,70,38,0,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,27,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,68,89,23,NA,69,NA,50,NA,NA,NA,19,NA,NA,50,NA,59,NA,NA,73,72,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,100,21,NA,28,NA
"Bagnères de Luchon, Fêtes des Fleurs","Jules Cheret","Art Nouveau","poster","print","https://www.wikiart.org/en/jules-cheret/bagn-res-de-luchon-f-tes-des-fleurs-1890","https://uploads8.wikiart.org/images/jules-cheret/bagn-res-de-luchon-f-tes-des-fleurs-1890.jpg",72,NA,NA,NA,NA,24,NA,66,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,60,NA,75,NA,NA,24,NA,NA,29,14,NA,NA,NA,0,NA,NA,33,51,NA,83,36,74,59,NA,NA,NA,NA,NA,76,NA,NA,56,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,70,NA,NA,NA,NA,65,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31,NA
"The Belles of the Ball","Francesc Masriera","Art Nouveau","genre painting","oil, canvas","https://www.wikiart.org/en/francesc-masriera/the-belles-of-the-ball","https://uploads8.wikiart.org/00284/images/francesc-masriera/masriera-belles.jpg!Large.jpg",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,100,43,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,52,69,36,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,47,NA,NA,NA,51,NA,62,NA,NA,NA,36,NA,NA,NA,NA,78,NA,0,NA,NA,NA,NA,40,60,NA,NA,NA,NA,NA,NA,43,63,NA,NA,NA,NA,NA,56,NA,NA,NA,0,NA,79,70,NA
"The Art of Drawing","Eugene Grasset","Art Nouveau","genre painting","lithography","https://www.wikiart.org/en/eug-ne-grasset/the-art-of-drawing-1894","https://uploads8.wikiart.org/images/eug-ne-grasset/the-art-of-drawing-1894.jpg",74,NA,NA,NA,NA,NA,NA,56,77,NA,NA,47,NA,NA,NA,NA,100,NA,NA,NA,69,NA,65,73,51,90,NA,56,NA,NA,NA,NA,79,NA,NA,NA,62,NA,59,77,NA,61,76,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,35,NA,84,NA,17,NA,63,NA,51,67,NA,2,68,NA,56,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,69,87,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8,NA
"Transom","Louis Comfort Tiffany","Art Nouveau","design","stained glass","https://www.wikiart.org/en/louis-comfort-tiffany/transom-1881","https://uploads8.wikiart.org/images/louis-comfort-tiffany/transom-1881.jpg",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,NA,NA,NA,31,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,75,NA,NA,78,14,NA,NA,13,NA,NA,NA,46,NA,20,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,82,NA,NA,9,NA,NA,NA,NA,43,NA,NA,NA,NA,NA
"Afternoon Silence","Wilhelm Kotarbinski","Art Nouveau","portrait","oil, canvas","https://www.wikiart.org/en/wilhelm-kotarbinski/afternoon-silence","https://uploads8.wikiart.org/images/wilhelm-kotarbinski/afternoon-silence.jpg",76,NA,NA,NA,NA,NA,NA,65,NA,NA,22,NA,NA,NA,50,NA,NA,87,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,91,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,79,87,51,NA,NA,NA,45,NA,61,NA,58,100,NA,NA,51,NA,NA,NA,NA,98,62,NA,72,NA,77,32,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,100,71,NA,NA,87
"Gulliver Mezi Sk_ítky","Maximilian Pirner","Art Nouveau","illustration","oil, canvas","https://www.wikiart.org/en/maximilian-pirner/gulliver-mezi-skritky-1910","https://uploads3.wikiart.org/00214/images/maximilian-pirner/maxmilian-pirner-gulliver-mezi-sk-tky-1910-1.jpg!Large.jpg",77,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,61,NA,NA,57,88,61,61,70,NA,86,65,NA,NA,NA,NA,NA,86,56,NA,NA,38,NA,NA,86,82,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,72,NA,75,54,63,NA,NA,NA,56,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,65,NA,NA,NA,66,NA,NA,NA,57,98,72,81,NA,NA,NA,NA,44,NA
"At the foot of the Petit Saleve","Ferdinand Hodler","Art Nouveau","landscape","oil, canvas","https://www.wikiart.org/en/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893","https://uploads8.wikiart.org/images/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893.jpg",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,63,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,67,16,NA,NA,73,NA,79,NA,NA,87,NA,83,NA,NA,NA,NA,83,NA,NA,NA,NA,67,NA,NA,NA,NA,81,54,NA,68,NA,NA,NA,NA,79,33,79,NA,65,22,NA,NA,NA,NA,22,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,84
"Ulf and Pontus","Carl Larsson","Art Nouveau","portrait","watercolor","https://www.wikiart.org/en/carl-larsson/ulf-and-pontus-1894","https://uploads3.wikiart.org/images/carl-larsson/ulf-and-pontus-1894(1).jpg!HD.jpg",79,NA,NA,NA,NA,NA,NA,79,73,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,90,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,18,52,76,NA,51,NA,NA,49,NA,NA,NA,49,NA,NA,10,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,37,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,53,NA,NA,NA,70,NA,NA,NA,51,NA
"Angel, I will follow you","Jacek Malczewski","Art Nouveau","Religious painting","oil, panel","https://www.wikiart.org/en/jacek-malczewski/angel-i-will-follow-you-1901","https://uploads8.wikiart.org/images/jacek-malczewski/angel-i-will-follow-you-1901.jpg",80,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,51,NA,NA,64,NA,70,NA,4,NA,14,NA,NA,NA,31,NA,94,NA,56,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,25,NA,57,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,90,NA,41,68,56,91,68,NA,NA,83,NA,NA,NA,3,NA,69,NA,NA
"Don Juan, and death. Sheet of from the album ""Theater Set""","Aleksandra Ekster","Constructivism","design","oil, canvas","https://www.wikiart.org/en/aleksandra-ekster/don-juan-and-death-sheet-of-from-the-album-theater-set-1930","https://uploads8.wikiart.org/images/aleksandra-ekster/don-juan-and-death-sheet-of-from-the-album-theater-set-1930.jpg",81,NA,NA,NA,NA,NA,6,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,70,59,35,NA,NA,NA,0,NA,98,NA,NA,35,NA,10,NA,NA,NA,79,NA,NA,NA,NA,NA,29,23,NA,47,NA,NA,NA,74,NA,NA,49,10,NA,NA,NA,NA,71,63,NA,NA,NA,NA,34,29,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,44,NA,50,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,51,7,NA,NA,NA,48,NA,NA,NA,NA,NA,63
"Blue Figure","Janos Mattis-Teutsch","Constructivism","figurative","oil, canvas","https://www.wikiart.org/en/janos-mattis-teutsch/blue-figure-1927","https://uploads8.wikiart.org/images/janos-mattis-teutsch/blue-figure-1927.jpg",82,NA,NA,NA,NA,28,15,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,43,29,NA,NA,61,NA,NA,NA,NA,NA,NA,85,88,13,NA,NA,NA,NA,73,38,NA,NA,NA,NA,NA,NA,NA,NA,27,23,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,56,20,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,35,NA,50,NA,NA,51,NA,NA,64,NA,59,65,66,24,35,NA,NA,NA,24,NA,NA,71,NA,NA,NA,NA,0,10,NA,0,76
"Monument to the Third International","Vladimir Tatlin","Constructivism","design","lithography","https://www.wikiart.org/en/vladimir-tatlin/monument-to-the-third-international-1920","https://uploads8.wikiart.org/images/vladimir-tatlin/monument-to-the-third-international-1920.jpg",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,66,NA,0,20,NA,NA,NA,29,NA,92,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,58,NA,NA,78,NA,NA,NA,NA,26,68,NA,NA,NA,36,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,24,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,50,NA,NA,NA,NA,NA,NA,60,NA,55,NA,24,NA,53,NA,NA,57,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,21,NA
"Draft for the tearoom on the ground floor of the Cafe Aubette","Sophie Taeuber-Arp","Constructivism","sketch and study",NA,"https://www.wikiart.org/en/sophie-taeuber-arp/draft-for-the-tearoom-on-the-ground-floor-of-the-cafe-aubette-1926","https://uploads8.wikiart.org/images/sophie-taeuber-arp/draft-for-the-tearoom-on-the-ground-floor-of-the-cafe-aubette-1926.jpg",84,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,19,3,NA,0,NA,58,NA,NA,34,NA,NA,NA,0,NA,NA,NA,NA,9,NA,6,17,NA,NA,15,64,NA,56,NA,NA,NA,NA,NA,9,44,NA,NA,NA,NA,0,72,11,NA,NA,NA,NA,NA,3,NA,39,51,NA,37,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,68,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pictorial Architecture","Lajos Kassak","Constructivism","abstract","oil, canvas","https://www.wikiart.org/en/lajos-kassak/pictorial-architecture-1923","https://uploads8.wikiart.org/images/lajos-kassak/pictorial-architecture-1923.jpg",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,7,0,NA,NA,NA,NA,54,NA,93,NA,NA,NA,NA,NA,NA,NA,83,100,20,NA,60,NA,NA,NA,25,NA,NA,NA,NA,81,50,NA,NA,NA,NA,79,12,8,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,18,NA,NA,NA,NA,35,NA,NA,NA,50,NA,NA,38,NA,NA,NA,NA,53,NA,56,89,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,11,NA,NA
"Production Clothing for Actor no.5' in Fernand Crommelynck's play 'The magnanimous Cuckold'","Lyubov Popova","Constructivism","design","collage","https://www.wikiart.org/en/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold","https://uploads8.wikiart.org/images/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold.jpg",86,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,70,NA,NA,57,NA,NA,43,NA,NA,66,72,NA,NA,NA,42,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,24,77,NA,NA,NA,51,45,51,25,NA,17,NA,NA,0,NA,NA,NA,23,NA,51,NA,NA,15,NA,50,37,NA,NA,NA,NA,NA,62,21,NA,NA,NA,NA,75,NA,NA,39,NA,78,NA,0,NA,NA,0,NA
"Room (Space Construction)","Peter Laszlo Peri","Constructivism","abstract","oil, canvas","https://www.wikiart.org/en/peter-laszlo-peri/room-space-construction-1921","https://uploads8.wikiart.org/images/peter-laszlo-peri/room-space-construction-1921.jpg",87,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,28,NA,NA,NA,30,0,15,NA,NA,NA,66,NA,14,NA,NA,NA,17,70,NA,NA,0,57,40,24,NA,34,NA,NA,75,NA,NA,NA,33,59,16,NA,NA,NA,NA,NA,0,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,64,NA,NA,NA,NA,NA,NA,72,NA,NA,36,NA,33,NA,NA,NA,NA,NA,NA,61,49,NA,8,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,58,NA,NA,11,NA,NA
"Model for 'Column'","Naum Gabo","Constructivism","installation","plastic, wood, metal","https://www.wikiart.org/en/naum-gabo/model-for-column-1921","https://uploads8.wikiart.org/images/naum-gabo/model-for-column-1921.jpg",88,NA,NA,NA,NA,NA,NA,NA,8,78,NA,NA,NA,54,0,NA,NA,NA,20,16,NA,NA,46,NA,NA,NA,NA,NA,9,65,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,60,NA,NA,49,NA,NA,NA,NA,NA,28,0,NA,NA,NA,52,NA,29,NA,4,0,NA,NA,16,51,NA,NA,NA,52,18,0,NA,20,NA,16,18,NA,NA,40,13,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,62,NA,NA,NA,NA,NA,NA,15,NA,NA
"Dreiformvariation","Carl Buchheister","Constructivism","abstract","oil, paper","https://www.wikiart.org/en/carl-buchheister/dreiformvariation-1928","https://uploads8.wikiart.org/images/carl-buchheister/dreiformvariation-1928.jpg",89,NA,NA,NA,NA,NA,0,51,NA,NA,NA,NA,NA,53,NA,NA,18,NA,NA,30,65,94,NA,10,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,16,NA,NA,32,NA,38,68,NA,52,NA,35,NA,15,0,NA,NA,53,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,23,NA,NA,7,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,0,NA,82,57,11,82,NA,NA,11,NA,NA,NA,NA,NA,NA,12,NA
"Composition","Erich Buchholz","Constructivism","abstract","oil, canvas","https://www.wikiart.org/en/erich-buchholz/composition-1920-1","https://uploads8.wikiart.org/images/erich-buchholz/composition-1920-1.jpg",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,42,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,53,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,15,NA,NA,16,73,15,0,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,40,NA,NA,44,24,NA,NA,24,39,NA,NA,NA,NA,NA,10,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
"Number 6","John McLaughlin","Minimalism","abstract","oil, canvas","https://www.wikiart.org/en/john-mclaughlin/number-6-1963","https://uploads8.wikiart.org/images/john-mclaughlin/number-6-1963.jpg",91,NA,NA,NA,NA,57,NA,66,2,NA,0,NA,NA,NA,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,NA,NA,65,NA,0,37,NA,NA,NA,NA,52,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,2,NA,26,NA,NA,NA,8,NA,NA,0,NA,NA,NA,NA,NA,36,71,1,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,4,NA,44,32,NA,NA,1,NA,0,NA,0,56,50,NA,NA,58,1,19,NA,NA,50,37,NA,NA,1,8,NA
"Spazio Luce","Antonio Calderara","Minimalism","abstract","oil, canvas","https://www.wikiart.org/en/antonio-calderara/spazio-luce-1961","https://uploads8.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg",92,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,18,8,NA,NA,NA,NA,40,NA,NA,75,NA,15,50,NA,11,NA,NA,0,NA,NA,NA,52,NA,NA,NA,NA,50,73,NA,83,NA,NA,32,NA,NA,50,NA,NA,39,NA,NA,31,34,NA,NA,24,1,0,0,NA,51,NA,NA,0,15,NA,18,NA,NA,NA,22,NA,NA,NA,NA,21,NA,NA,NA,10,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,39,1,NA,NA,NA,NA,NA,NA,NA,60
"Untitled Myron Stout","Myron Stout","Minimalism","abstract","pencil, paper","https://www.wikiart.org/en/myron-stout/untitled-1979","https://uploads7.wikiart.org/images/myron-stout/untitled-1979(1).jpg",93,NA,NA,NA,"https://uploads8.wikiart.org/images/lajos-kassak/pictorial-architecture-1923.jpg",NA,NA,NA,55,NA,35,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,86,56,17,NA,NA,NA,0,NA,10,90,NA,0,NA,NA,NA,NA,0,NA,71,NA,51,43,NA,16,21,NA,21,NA,NA,NA,NA,0,53,29,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,4,2,NA,NA,NA,NA,NA,21,NA,51,NA,10,NA,NA,NA,NA,21,NA,21,20,NA,NA,NA,60,NA,16,72,NA,NA,NA,NA,NA,17,NA,NA,NA,0,NA
"Desert Rain","Agnes Martin","Minimalism","abstract","oil, canvas","https://www.wikiart.org/en/agnes-martin/desert-rain-1957","https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg",94,NA,NA,NA,"https://uploads8.wikiart.org/images/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold.jpg",NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,27,3,0,NA,NA,NA,NA,51,NA,NA,22,3,18,NA,NA,52,NA,NA,71,NA,NA,NA,22,NA,35,NA,NA,22,NA,0,NA,NA,NA,10,15,0,NA,0,NA,NA,NA,NA,67,6,NA,NA,18,8,0,NA,21,NA,31,NA,NA,NA,20,NA,NA,25,NA,4,NA,NA,NA,NA,NA,NA,41,NA,NA,2,NA,NA,NA,NA,49,NA,NA,NA,NA,NA
"Untitled Gego","Gego","Minimalism","abstract","oil, canvas","https://www.wikiart.org/en/gego/untitled-1966","https://uploads8.wikiart.org/images/gego/untitled-1966.jpg",95,NA,NA,NA,"https://uploads8.wikiart.org/images/peter-laszlo-peri/room-space-construction-1921.jpg",NA,0,NA,NA,NA,12,24,NA,NA,NA,0,62,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,4,NA,NA,12,NA,NA,NA,NA,NA,50,NA,NA,12,24,NA,4,26,79,NA,NA,NA,NA,NA,15,NA,0,NA,NA,NA,NA,43,3,NA,28,NA,NA,NA,NA,NA,24,NA,5,NA,NA,NA,17,25,NA,NA,24,NA,39,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,31,NA,NA,0,0,NA,NA,NA
"Die","Tony Smith","Minimalism","sculpture","sculpture","https://www.wikiart.org/en/tony-smith/die-1968","https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg",96,NA,NA,NA,"https://uploads8.wikiart.org/images/naum-gabo/model-for-column-1921.jpg",NA,NA,NA,NA,NA,2,NA,NA,54,NA,NA,66,NA,0,7,NA,NA,NA,19,51,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,56,20,NA,NA,NA,38,36,NA,NA,63,9,NA,NA,6,0,NA,23,NA,51,NA,NA,NA,4,7,19,51,NA,51,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,50,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,0,NA,NA,21,22,NA,NA
"R60-27","Johnanes Jan Schoonhoven","Minimalism","abstract","oil, canvas","https://www.wikiart.org/en/johannes-jan-schoonhoven/r60-27-1960","https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg",97,NA,NA,NA,"https://uploads8.wikiart.org/images/carl-buchheister/dreiformvariation-1928.jpg",64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,70,0,31,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,32,51,76,50,NA,NA,NA,NA,56,7,NA,NA,NA,58,NA,NA,19,73,NA,NA,0,32,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,50,NA,13,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,9,NA,NA,NA,NA,29,NA,NA,0,45,27,72,NA,NA,NA,NA,NA
